alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
22574,49227,8373,33195,379894,13124,8516,53523,0,0
11485,14332,5924,3223,70146,1909,4826,49015,0,0
14092,30514,8064,18446,122504,6560,5969,110043,0,0
32867,63911,24591,36109,1549260,3307,6118,321841,0,0
16931,6294,9104,12770,1202039,4343,5770,166965,30,30
2393,3427,3429,7651,5072,1078,822,15673,54,30
2784,8611,4724,4896,22522,2313,3045,9072,78,51
6720,23126,6574,21258,26033,1183,1830,74478,69,57
3040,7866,1922,10163,14721,1517,5746,44153,60,64
31614,25929,11686,8718,1810635,1900,3896,148176,26,74
5060,3774,4490,5764,49599,780,406,8602,26,67
2694,1725,7594,14248,75261,1843,2333,51534,44,43
627,8922,1700,3802,99312,1145,1371,39024,44,48
3288,3999,1538,4496,83022,1277,1301,16749,48,48
24519,4016,10917,10278,88231,1974,7626,40251,35,83
1297,409,2437,1763,8955,234,269,3352,77,83
3406,14837,10017,10207,22837,951,2629,13877,96,91
26598,68025,7774,33315,261884,6467,8322,284511,70,83
8723,12395,8854,22790,449381,2819,8202,71987,60,70
15132,46398,14456,13505,30101,2274,6375,34780,44,90
3674,2142,1018,2358,407195,429,304,21992,17,75
1639,2718,1979,5967,30498,510,1886,40349,27,53
10072,8873,6059,28608,74070,2188,4004,48943,26,51
20940,10181,15338,20072,774421,1176,6650,27063,30,41
29001,3290,20192,20815,862063,8158,13912,283377,40,29
2295,1278,2860,3132,5581,336,4052,9816,57,41
2159,180,1517,1388,13572,326,828,1176,81,56
10066,6216,9759,16491,73921,4028,3455,32455,78,47
1694,9427,702,2123,100534,442,578,24359,64,66
13005,16441,6281,7817,13888,3407,8672,16291,60,90
7681,17857,7146,2792,7164,1388,4486,8444,50,97
1429,5093,2258,5061,57272,1971,4998,9595,44,100
6988,21494,4711,8604,27480,1744,2055,22886,66,100
2792,5039,4449,4320,30193,1069,979,10553,74,90
10568,8656,10066,7292,20029,6995,3507,76876,66,63
3890,5018,5376,2342,6207,949,1342,11904,74,66
4919,43271,5950,6363,11199,2028,2359,34681,67,69
23852,4207,4696,3173,29684,1561,2370,21759,66,91
5264,4825,6721,15323,76405,1529,4010,17981,66,84
8396,12215,4354,14800,52705,2889,1939,40118,66,69
58667,16889,9798,30113,89190,3108,1756,72446,51,75
11429,18102,6136,7342,19587,1997,3317,11411,56,78
19253,4389,7248,4203,71265,2468,4077,40644,48,87
12736,12957,12203,13139,103119,1368,1519,45925,56,87
2063,6878,2474,6288,202482,465,820,18955,61,77
9719,443,1865,6050,26575,791,1770,15210,53,61
13286,35047,5243,5087,50569,5250,3040,56514,43,66
15283,40339,8563,21244,406770,2421,6854,44437,35,77
2801,13355,5493,5891,482100,5791,4405,51930,34,74
7774,4207,4582,7337,40459,2880,3967,34861,37,66
25709,7292,7950,14861,86141,3258,2407,109083,38,53
3875,9052,5714,5287,34703,1586,2111,48607,38,37
17384,38822,5228,36720,81064,1746,3498,32144,35,50
2631,4396,763,3024,10781,614,802,9678,24,60
6184,16473,9004,4691,49974,2109,6057,31998,37,67
3775,3007,2736,3827,22773,966,870,12970,43,77
49755,16556,15180,3161,529640,576,2125,39518,53,83
15565,9595,5627,11005,50522,1125,2898,21609,66,87
11821,13819,12786,14960,185454,2559,3290,24665,74,87
17192,27673,7210,28158,269888,2681,2937,115458,60,83
1865,3301,3026,1911,28556,831,614,13411,60,64
8963,2462,6724,16038,388807,2236,4365,42348,60,48
2809,428,987,4461,11401,607,786,10006,47,35
4002,5016,3750,8957,47831,1186,3646,21921,56,34
8344,4432,8998,4496,104548,3036,5482,69327,53,24
4887,3182,4773,4689,21217,445,1321,27417,53,30
15614,6989,8187,14812,464680,3388,2587,24012,60,41
16458,13109,3073,8955,854674,700,2912,222817,38,40
23924,34315,4222,15369,166708,1398,1810,124377,26,43
53669,7432,20977,10347,908679,2976,15772,72164,26,57
12978,10888,5182,4236,61692,1553,2636,34856,50,78
2563,13892,8032,5074,38744,378,906,23877,75,78
27945,31367,10804,32440,677029,690,2474,90190,69,77
7649,682,1193,647,20744,487,314,12977,57,77
7309,5463,3680,10295,175766,546,1148,26840,54,78
4157,2134,1270,3475,119228,536,521,19589,51,70
5056,26636,2135,4183,7918,594,765,17038,50,83
26052,37373,5375,18900,18783,1367,3977,30531,38,88
25872,6925,7227,12634,108792,2438,4100,48086,38,93
50995,37816,23839,17023,612422,10860,4440,54467,53,100
4604,3307,4830,2923,108817,1809,1655,16479,69,91
978,3836,1366,1348,109001,114,384,8956,75,78
2572,829,1517,2497,21501,251,701,14120,74,64
9986,15188,1873,3373,67088,536,1339,25031,56,63
45504,13251,6753,16200,172794,1794,3269,75072,40,70
79033,6962,17058,24495,1227462,5184,3937,91076,40,77
22957,49145,17996,21455,281912,951,3998,63158,50,66
4201,30419,9559,10224,49782,3181,5340,59451,57,61
13670,19066,2810,12924,19320,2518,1961,49463,44,60
7985,5107,7128,8964,22437,3214,3828,17726,60,75
4698,4039,2368,2942,7487,410,978,11413,60,69
11816,20889,7426,10261,83937,1727,1614,158748,50,57
7380,11466,3534,3531,22870,812,1180,43925,54,54
9265,23776,3763,33708,63714,2727,4142,105456,30,51
11822,4757,2917,7391,14911,1273,382,22181,26,51
1258,3028,1698,1794,101541,888,916,17249,34,53
4486,6523,2518,6402,63249,439,849,36592,66,53
2664,1900,2388,3098,34676,527,632,42997,61,29
11039,10632,5896,7483,796182,2294,1352,166279,50,23
12746,2134,4235,10222,35476,1276,2927,36307,29,17
3799,7534,9651,10278,31863,2738,3418,28793,47,20
2079,6390,3541,3713,15422,427,1179,10484,60,41
7311,2419,3343,3062,200402,1083,990,75610,63,40
8836,17278,6947,18222,32830,2438,3517,17013,69,50
9605,13488,2264,5669,63621,1367,2911,62742,44,53
15377,17708,5462,10993,26754,2485,2035,43084,35,54
4868,18698,5189,7845,16153,1317,3110,16671,48,81
16671,6048,2550,4523,23901,1058,2455,52704,50,83
15553,11831,7332,18797,715888,1389,2638,19947,53,80
1907,4869,721,1977,15775,244,589,6729,48,81
10523,3667,9251,4038,39903,706,2321,16499,74,84
8726,33713,5832,3573,17558,3966,3672,22571,66,94
3805,20228,7386,10839,77915,3612,4019,26772,83,84
18973,38501,13187,4833,63257,1011,4366,63055,69,93
3221,2917,4517,13716,12616,2542,2433,23271,75,63
18971,37175,3505,14589,33733,1887,2018,50080,54,70
7821,24414,5645,9728,101291,4025,3633,14982,53,81
3602,26021,3893,3530,35927,3055,8703,22601,50,84
8295,8817,2861,11719,25114,1169,1638,13622,44,100
20394,17834,3299,5798,32379,5135,3854,39177,47,100
14720,7750,6811,9562,74432,1578,1760,10618,51,100
7556,3998,5508,7177,64035,2677,1767,10577,63,93
15397,21013,4438,27951,111124,1616,6530,77671,54,83
12772,7856,7024,15330,25885,2218,2918,7466,75,80
10148,2494,7275,12228,29410,527,2640,40894,70,63
9501,1684,6259,7473,692834,571,1348,27198,66,54
25515,34614,8421,9090,12660,1500,3936,37302,43,57
3509,1007,1664,1327,7073,224,501,6943,44,69
22960,3687,6329,14926,7702,1874,910,13077,47,83
16932,6377,14762,5329,849178,2735,8902,29572,81,90
27884,8383,6861,6960,27485,14354,4978,34169,81,84
13517,6207,9567,11336,59052,1410,2100,22389,84,84
3025,1895,1582,2606,97619,472,1169,5327,84,80
6316,16323,4852,3818,19502,647,1544,6979,78,94
3927,7971,7746,5741,13770,843,2486,46585,81,77
17983,10295,6554,12801,47831,711,2987,20957,77,81
10918,3312,2675,14285,25225,2341,1521,36082,64,75
7892,10732,2616,6791,48933,2520,2580,39495,51,77
16339,20016,14273,18802,25783,2770,4932,29781,56,74
3918,409,5064,6659,13300,2200,1767,7628,78,69
16534,17299,6848,7438,15715,2063,3566,17575,77,75
15471,23263,4491,6422,29289,2044,3950,32826,81,84
12748,15518,3152,4174,1008761,357,875,66600,37,69
661,1252,1912,1191,9593,395,621,12277,37,40
11447,20674,7193,25693,66734,7820,4546,77468,38,24
10847,5671,6067,4689,39700,973,3490,19444,53,48
10964,4652,3206,11144,123472,1877,1273,39297,60,44
6455,1837,1271,1882,130545,381,1089,41561,41,53
6742,12298,5144,7814,30686,1387,5430,17034,50,63
14728,20150,8744,11344,111897,2539,2191,59515,43,60
5439,4040,3975,1549,15137,922,1022,3395,61,77
16511,10555,13515,25666,505591,1230,2813,106588,77,77
16901,24364,10182,9733,355609,1909,2809,146976,64,63
7867,4767,5002,3849,12395,684,1212,10089,66,66
4698,2572,3050,5495,35073,898,1257,16957,67,74
7874,28742,5200,7173,16122,1195,890,21309,64,84
4639,7711,1579,5816,50596,465,696,37151,44,75
46337,25597,12047,10086,1803661,2364,4363,171898,35,78
19335,1193,7870,21401,462578,1340,2367,81550,38,63
8740,3066,5317,5472,53586,1331,1790,38015,40,44
37691,980,6502,10752,50200,2072,5071,146439,40,41
3298,1609,1266,3267,9132,235,484,2850,51,48
13049,26586,9423,12931,40954,2961,4717,45622,54,63
8129,17466,9210,25342,5941,2024,2566,36367,57,66
18466,48675,7297,14609,53609,2005,3758,78629,61,75
19993,59172,9256,17167,26561,2303,2476,21978,60,88
6819,15150,7466,8036,779101,1579,2155,86187,51,80
27849,12160,15237,9183,32110,2494,3680,75117,51,78
3989,2196,2450,1151,11912,255,586,2200,69,81
8333,35172,6563,9317,25548,1960,1729,55462,64,67
9530,1031,3722,6521,34732,1178,2134,29688,67,70
10512,30830,5003,18378,40128,1706,1839,18463,64,69
14879,8443,32031,7541,25079,1170,2799,22149,88,63
10406,1324,1639,8239,93528,1029,670,30605,63,77
5370,1368,2469,2127,6616,502,1148,7184,54,81
10790,2110,1804,4581,228271,506,704,10189,61,50
7760,16670,9257,12283,41810,2289,4676,59148,57,54
6549,6156,3458,9612,54945,1125,2000,18830,64,64
4712,17496,5787,5610,22545,2274,912,10652,64,67
6669,27592,2515,11626,64358,2559,2171,22019,61,83
1380,26718,2733,6395,17198,1532,2125,35105,54,83
8560,5026,8812,5350,12203,1542,2043,27298,75,57
3186,10008,3095,6971,36278,796,2117,20837,67,67
604,5801,6736,3800,32946,760,4176,23422,63,48
26111,23949,10219,11227,29648,1930,3466,30857,70,57
13159,2490,3445,2962,21908,1003,1276,26876,70,60
9907,8613,7985,8879,42875,1627,1790,24641,70,63
14399,18508,2486,13282,21113,2069,4072,15400,56,83
14513,16218,10351,5486,16655,1607,2545,59153,53,94
8761,32727,6625,6162,6470,1703,2655,19092,60,96
26592,4649,9305,6909,37033,1885,5304,34271,61,96
28695,20352,6876,12459,700479,3007,9261,169737,43,84
4289,10724,899,883,56183,226,296,34485,24,69
26853,21558,8970,11663,526807,2539,3879,137161,21,54
41352,5668,11162,5489,27503,1323,2138,26761,75,60
1692,4620,11338,7410,41370,2655,2913,19329,69,67
3642,22734,4620,7830,47222,2185,2776,71401,37,47
7365,1223,4027,4246,734264,1535,7327,49914,38,27
1935,10195,1956,2718,127872,1240,1122,14485,48,57
7687,14124,1894,1710,125577,564,952,14928,40,93
42345,13514,4319,16509,318958,885,4314,80996,16,94
